Stock symbol,start_price,end_price,pct_change,sector_pct_change,stock_trade_volume,trade_dollar_volume,GICS_Sector
ADM,90.43,80.42,-11.0693,1.1894,2094556,168444193.5,Consumer_Staples
MO,52.72,44.98,-14.6813,1.1894,8385812,377193823.8,Consumer_Staples
BF.B,67.39,64.08,-4.9117,1.1894,1291988,82790591.04,Consumer_Staples
CPB,44.99,55.15,22.5828,1.1894,1858039,102470850.9,Consumer_Staples
CHD,100.81,88.87,-11.8441,1.1894,1363162,121144206.9,Consumer_Staples
CLX,145,156.75,8.1034,1.1894,1838253,288146157.8,Consumer_Staples
KO,62.54,62.4,-0.2239,1.1894,12300660,767561184,Consumer_Staples
CL,76.59,75.36,-1.606,1.1894,3188684,240299226.2,Consumer_Staples
CAG,34.12,37.44,9.7304,1.1894,6459217,241833084.5,Consumer_Staples
STZ,229.71,225.42,-1.8676,1.1894,1171249,264022949.6,Consumer_Staples
COST,575.13,497.03,-13.5795,1.1894,1804653,896966680.6,Consumer_Staples
EL,278.62,246.79,-11.4242,1.1894,1333526,329100881.5,Consumer_Staples
GIS,68.49,85.92,25.449,1.1894,3380399,290443882.1,Consumer_Staples
HSY,216.52,257.16,18.7696,1.1894,817873,210324220.7,Consumer_Staples
HRL,51.7,40.42,-21.8182,1.1894,4363242,176362241.6,Consumer_Staples
K,65.31,67.11,2.7561,1.1894,2465647,165469570.2,Consumer_Staples
KDP,38.36,35.39,-7.7424,1.1894,8911627,315382479.5,Consumer_Staples
KMB,125.02,135.01,7.9907,1.1894,1905341,257240088.4,Consumer_Staples
KHC,39.89,38.85,-2.6072,1.1894,5605280,217765128,Consumer_Staples
KR,57.44,49.94,-13.0571,1.1894,6118221,305543956.7,Consumer_Staples
LW,60.69,104.22,71.7252,1.1894,1361130,141856968.6,Consumer_Staples
MKC,101.35,84.32,-16.8032,1.1894,1870526,157722752.3,Consumer_Staples
TAP,52.07,52.12,0.096,1.1894,1263969,65878064.28,Consumer_Staples
MDLZ,63.04,70.22,11.3896,1.1894,5755841,404175155,Consumer_Staples
MNST,41.3,53.58,29.7337,1.1894,4845520,259622961.6,Consumer_Staples
PEP,169.32,182.5,7.7841,1.1894,3902505,712207162.5,Consumer_Staples
PM,96.28,97.9,1.6826,1.1894,2962829,290060959.1,Consumer_Staples
PG,154.08,149.51,-2.966,1.1894,5721680,855448376.8,Consumer_Staples
SJM,134.64,157.64,17.0826,1.1894,692749,109204952.4,Consumer_Staples
SYY,82.88,78.16,-5.695,1.1894,1504468,117589218.9,Consumer_Staples
TSN,89.85,59.41,-33.8787,1.1894,2778441,165067179.8,Consumer_Staples
WBA,43.4,35.46,-18.2949,1.1894,9677966,343180674.4,Consumer_Staples
WMT,151.04,148.69,-1.5559,1.1894,6588882,979700864.6,Consumer_Staples
ATVI,80.73,85.33,5.698,-24.3968,6474703,552486407,Communication_Services
T,24.18,19.39,-19.8098,-24.3968,31102535,603078153.7,Communication_Services
CHTR,562,356.21,-36.6174,-24.3968,923235,328865539.3,Communication_Services
CMCSA,48.11,38.01,-20.9936,-24.3968,19698330,748733523.3,Communication_Services
DISH,32.2,9.05,-71.8944,-24.3968,6775417,61317523.85,Communication_Services
DIS,138.58,99.76,-28.0127,-24.3968,7313201,729564931.8,Communication_Services
EA,128.02,121.35,-5.2101,-24.3968,1946432,236199523.2,Communication_Services
FOXA,39.55,34.18,-13.5777,-24.3968,2835502,96917458.36,Communication_Services
FOX,36.41,31.37,-13.8424,-24.3968,940815,29513366.55,Communication_Services
IPG,35.12,37.57,6.9761,-24.3968,4547407,170846081,Communication_Services
LYV,116.17,69.31,-40.3374,-24.3968,1287160,89213059.6,Communication_Services
LUMN,11.53,2.59,-77.5369,-24.3968,26324389,68180167.51,Communication_Services
MTCH,113.34,38.45,-66.0755,-24.3968,3033198,116626463.1,Communication_Services
NWSA,22.11,17.42,-21.2121,-24.3968,2854215,49720425.3,Communication_Services
NWS,22.45,17.6,-21.6036,-24.3968,1379139,24272846.4,Communication_Services
OMC,82.04,95.2,16.041,-24.3968,2341270,222888904,Communication_Services
PARA,37.72,21.79,-42.2322,-24.3968,11501147,250609993.1,Communication_Services
TMUS,132.59,146.76,10.6871,-24.3968,5674617,832806790.9,Communication_Services
TTWO,154.43,118.69,-23.1432,-24.3968,1350113,160244912,Communication_Services
VZ,52.46,39.22,-25.2383,-24.3968,19354856,759097452.3,Communication_Services
ACN,344.47,285.84,-17.0204,-7.6256,2417506,691019915,Information_Technology
ADBE,468.81,380.08,-18.9266,-7.6256,2712644,1031021732,Information_Technology
ADP,235.18,216.81,-7.811,-7.6256,2592146,562003174.3,Information_Technology
AKAM,120.46,77.88,-35.3478,-7.6256,1255871,97807233.48,Information_Technology
AMD,110.53,96.56,-12.6391,-7.6256,50655332,4891278858,Information_Technology
APH,75.99,81.22,6.8825,-7.6256,2680179,217684138.4,Information_Technology
ADI,164.5,196.28,19.3191,-7.6256,3120753,612541398.8,Information_Technology
ANSS,323.21,329.4,1.9152,-7.6256,456294,150303243.6,Information_Technology
AMAT,129.44,122.32,-5.5006,-7.6256,5117768,626005381.8,Information_Technology
ANET,142.75,167.74,17.5061,-7.6256,3217799,539753604.3,Information_Technology
ADSK,218.77,207.58,-5.115,-7.6256,1472599,305682100.4,Information_Technology
AVGO,634.85,642.47,1.2003,-7.6256,1568246,1007551008,Information_Technology
BR,156.61,145.2,-7.2856,-7.6256,472246,68570119.2,Information_Technology
CDNS,167.11,211.39,26.4975,-7.6256,1603573,338979296.5,Information_Technology
CDW,178.83,193.69,8.3096,-7.6256,738339,143008880.9,Information_Technology
CDAY,70.13,73.22,4.4061,-7.6256,1627399,119158154.8,Information_Technology
