symbol,security,sec_filings,gics_sector,sub_industry,headquarters,date_added,cik,founded,
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",9/08/1976,66740,1902,
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916,
ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888,
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888),
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981,
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",6/07/2011,1467373,1989,
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008,
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/07/1981,7084,1902,
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",5/05/1997,796343,1982,
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",31/03/1981,8670,1949,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",9/07/2015,1158449,1932,
AES,AES Corporation,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",2/10/1998,874761,1981,
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955,
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",5/06/2000,1090872,1999,
APD,Air Products and Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940,
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998,
ALK,Alaska Air Group,reports,Industrials,Airlines,"SeaTac, Washington",13/05/2016,766421,1985,
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",1/07/2016,915913,1994,
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994,
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"Tempe, Arizona",19/06/2017,1097149,1997,
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",2/12/2013,1579241,1908,
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",1/07/2016,352541,1917,
ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931,
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/04/2014,1652044,1998,
GOOG,Alphabet Inc. (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",3/04/2006,1652044,1998,
MO,Altria,reports,Consumer Staples,Tobacco,"Richmond, Virginia",4/03/1957,764180,1985,
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994,
AMCR,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",7/06/2019,1748790,2019 (1860),
AMD,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969,
AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902,
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934,
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4/03/1957,4904,1906,
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",30/06/1976,4962,1850,
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",31/03/1980,5272,1919,
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995,
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",4/03/2016,1410636,1886,
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",3/10/2005,820027,1894,
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",30/08/2001,1140859,1985,
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930,
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",2/01/1992,318154,1980,
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313,1932,
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",12/10/1999,6281,1965,
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969,
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",23/04/1996,315293,1982 (1919),
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/07/1997,1841666,1954,
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977,
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,6951,1967,
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994,
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,1596532,2004,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31/05/2016,354190,1927,
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",10/04/2007,1267238,1892,
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,731802,1906,
ADSK,Autodesk,reports,Information Technology,Application Software,"San Francisco, California",1/12/1989,769397,1982,
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",2/01/1997,866787,1979,
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia",10/01/2007,915912,1978,
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,1990,
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/07/2017,1701605,2017,
BALL,Ball Corporation,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,1880,
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,1998 (1923 / 1874),
BBWI,"Bath & Body Works, Inc.",reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",30/09/1983,701985,1963,
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,10456,1931,
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,10795,1897,
WRB,Berkley,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",5/12/2019,11544,1967,
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,1839,
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478,1966,
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",22/06/2020,12208,1952,
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30/08/2021,842023,1976,
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",13/11/2003,875045,1978,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",4/04/2011,1364742,1988,
